feature_id,zone_id,annual_precipitation,mean_elevation,mean_mvi,mean_ndvi,mean_slope,mean_temperature,mean_wind_speed,nearest_aquaculture_distance_m,nearest_river_distance_m,next_year_change_pct,year,lat,lon,municipality,.geo
00fa0000000000000d3f,CARLES-001,3754.27184,0,-1.369113405,0.1879947234,0,26.44391404,1.662020577,369.4150498,208.7188742,0.5993505002,2022,11.51887295,123.1125381,Carles,"{""type"":""Polygon"",""coordinates"":[[[123.11240428101907,11.518738018571197],[123.1126718081896,11.518737968966379],[123.11267180818963,11.51900791044103],[123.11240428101907,11.51900788543883],[123.11240428101907,11.518738018571197]]]}"
00fa0000000000000d76,CARLES-002,3754.27184,0,-1.372366846,0.1281642957,0,26.44391404,1.662020577,307.2817311,423.4195719,0.5535420954,2022,11.51725365,123.1093047,Carles,"{""type"":""Polygon"",""coordinates"":[[[123.10916832060367,11.517118707409423],[123.10944100642251,11.517118686053026],[123.10944100642251,11.517388630243996],[123.10916832060367,11.517388577004983],[123.10916832060367,11.517118707409423]]]}"
00fa0000000000000d7c,CARLES-003,3754.27184,0.7674418605,-1.204161899,0.1557072858,1.876686306,26.44391404,1.662020577,94.23891942,276.6269933,0,2022,11.51698574,123.0987942,Carles,"{""type"":""Polygon"",""coordinates"":[[[123.09865788358469,11.516852786977894],[123.09893051261882,11.516852790741927],[123.09893051261882,11.517118695354727],[123.09865788358469,11.517118692241477],[123.09865788358469,11.516852786977894]]]}"
00fa0000000000000d84,CARLES-004,3754.27184,0,-0.7904214247,0.1391453628,1.349101616,26.44391404,1.662020577,0,117.0969235,0.5749574934,2022,11.51563836,123.0993318,Carles,"{""type"":""Polygon"",""coordinates"":[[[123.09919807633851,11.515773274795782],[123.09919807633851,11.515503386142639],[123.09946555349298,11.515503447184646],[123.09946555349298,11.515773335189888],[123.09919807633851,11.515773274795782]]]}"
00fa0000000000000f07,CARLES-005,3754.27184,0.9603174603,46.6724213,0.2539096991,3.217852392,26.44391404,1.662020577,214.016184,2887.374643,0.553325954,2022,11.4967753,123.1618543,Carles,"{""type"":""Polygon"",""coordinates"":[[[123.16172058555809,11.496640383420193],[123.16198806440788,11.496640389043677],[123.16198806440788,11.496910216178357],[123.16172058555809,11.496910211204447],[123.16172058555809,11.496640383420193]]]}"
00fa0000000000000f82,BALASAN-001,3754.27184,2.968253968,4.36550878,0.1838906089,1.318762081,26.44391404,1.662020577,961.2027862,50.82890077,0.5947024798,2022,11.49434656,123.1314033,Balasan,"{""type"":""Polygon"",""coordinates"":[[[123.13153712171471,11.494481517536498],[123.13126955997154,11.494481468328129],[123.13126955997154,11.49421164953602],[123.13153712171471,11.494211624172312],[123.13153712171471,11.494481517536498]]]}"
00fa0000000000000ff0,BALASAN-002,3754.27184,3.30859375,-1.060447504,0.1713194712,4.667756382,26.44391404,1.662020577,641.916109,159.7719262,0.5207337213,2022,11.48841769,123.1235861,Balasan,"{""type"":""Polygon"",""coordinates"":[[[123.1234497939825,11.488282785602548],[123.12372244028244,11.488282741312934],[123.12372244028244,11.488552634852944],[123.1234497939825,11.488552604582688],[123.1234497939825,11.488282785602548]]]}"
00fa0000000000000ffc,BALASAN-003,3754.27184,1.888888889,-0.7406843322,0.1245065749,3.956790493,26.44391404,1.662020577,437.94502,426.1359059,0.4569559303,2022,11.48761211,123.1308632,Balasan,"{""type"":""Polygon"",""coordinates"":[[[123.1307293713616,11.487477198516602],[123.13099693457349,11.487477190035845],[123.13099693457349,11.487747063372419],[123.1307293713616,11.487746997286628],[123.1307293713616,11.487477198516602]]]}"
00fa0000000000001129,ESTANCIA-001,3754.27184,3.0390625,-0.7660314373,0.1350406322,4.243949223,26.44391404,1.662020577,83.69741044,126.1745156,0.4966807381,2022,11.47521506,123.1354444,Estancia,"{""type"":""Polygon"",""coordinates"":[[[123.13530813744943,11.475080160887627],[123.13558075090197,11.475080133758443],[123.13558075090197,11.475349956656009],[123.13530813744943,11.475349984446892],[123.13530813744943,11.475080160887627]]]}"
00fa0000000000001875,CARLES-006,3754.27184,1.865079365,-0.6220922223,0.1276373565,1.725328342,26.44391404,1.662020577,356.1907136,538.2444649,0.4497302682,2022,11.52628285,123.119545,Carles,"{""type"":""Polygon"",""coordinates"":[[[123.11941124491038,11.526012980081958],[123.11967875305845,11.526012979402786],[123.11967875305845,11.52655272466519],[123.11941124491038,11.526552726641391],[123.11941124491038,11.526012980081958]]]}"
